"treefilename","strength","bias","birth","death"
"tree229.tre",-1.36886396713089,"FP",2,1
"tree230.tre",-0.692090770811774,"FP",2,1
"tree231.tre",-0.913073713076301,"FP",2,1
"tree232.tre",0.841975072631612,"FP",2,1
"tree233.tre",-0.970088179223239,"FP",2,1
"tree234.tre",-0.221752364072017,"FP",2,1
"tree235.tre",-1.24250391882379,"FP",2,1
"tree236.tre",-1.35395633149892,"FP",2,1
"tree237.tre",-1.19610862899572,"FP",2,1
"tree238.tre",-1.09854476444889,"FP",2,1
"tree239.tre",-0.667120602214709,"FP",2,1
"tree240.tre",-0.533404609072022,"FP",2,1
"tree241.tre",0.916020422824658,"FP",2,1
"tree242.tre",-0.576833263970912,"FP",2,1
"tree243.tre",-1.39432370988652,"FP",2,1
"tree244.tre",-0.117394850589335,"FP",2,1
"tree245.tre",0.234167786198668,"FP",2,1
"tree246.tre",0.415192229789682,"FP",2,1
"tree247.tre",-0.140171628794633,"FP",2,1
"tree248.tre",-0.90644011949189,"FP",2,1
"tree249.tre",-0.599654799792916,"FP",2,1
"tree250.tre",-1.08099667390343,"FP",2,1
"tree251.tre",-0.519983165781014,"FP",2,1
"tree252.tre",-0.921645861584693,"FP",2,1
"tree253.tre",0.700621309457347,"FP",2,1
"tree254.tre",0.724684603861533,"FP",2,1
"tree255.tre",-0.416943634394556,"FP",2,1
"tree256.tre",0.14187240996398,"FP",2,1
"tree257.tre",0.307473714579828,"FP",2,1
"tree258.tre",0.842809984693304,"FP",2,1
"tree259.tre",-1.04786561371293,"FP",2,1
"tree260.tre",-0.429021078511141,"FP",2,1
"tree261.tre",0.774238896789029,"FP",2,1
"tree262.tre",-0.275093026342802,"FP",2,1
"tree263.tre",0.763837486389093,"FP",2,1
"tree264.tre",-0.283663675421849,"FP",2,1
"tree265.tre",-0.707211659522727,"FP",2,1
"tree266.tre",0.267349633155391,"FP",2,1
"tree267.tre",-0.290175894391723,"FP",2,1
"tree268.tre",0.384236690239049,"FP",2,1
"tree269.tre",-0.188642023480497,"FP",2,1
"tree270.tre",-1.04662814736366,"FP",2,1
"tree271.tre",0.18871519039385,"FP",2,1
"tree272.tre",-0.531434156931937,"FP",2,1
"tree273.tre",-1.45999729901087,"FP",2,1
"tree274.tre",-1.18251771468204,"FP",2,1
"tree275.tre",0.492211516480893,"FP",2,1
"tree276.tre",-0.7548497102689,"FP",2,1
"tree277.tre",0.919847257551737,"FP",2,1
"tree278.tre",0.741411657887511,"FP",2,1
"tree279.tre",-0.810443358845077,"FP",2,1
"tree280.tre",0.0764701255830005,"FP",2,1
"tree281.tre",-1.23426824552007,"FP",2,1
"tree282.tre",0.222113409196027,"FP",2,1
"tree283.tre",-0.386347612715326,"FP",2,1
"tree284.tre",-0.922403260832652,"FP",2,1
"tree285.tre",0.28714415000286,"FP",2,1
"tree286.tre",0.139243355020881,"FP",2,1
"tree287.tre",-1.2842572175432,"FP",2,1
"tree288.tre",-1.28442402149085,"FP",2,1
"tree289.tre",-1.31850925832987,"FP",2,1
"tree290.tre",-0.985384653089568,"FP",2,1
"tree291.tre",0.622648147051223,"FP",2,1
"tree292.tre",-1.03523481439333,"FP",2,1
"tree293.tre",0.0964148449711502,"FP",2,1
"tree294.tre",-1.42284850100987,"FP",2,1
"tree295.tre",0.173385761678219,"FP",2,1
"tree296.tre",-0.51669088343624,"FP",2,1
"tree297.tre",-0.720445357495919,"FP",2,1
"tree298.tre",-0.550970160169527,"FP",2,1
"tree299.tre",-0.594341329764575,"FP",2,1
"tree300.tre",-0.0943605430657044,"FP",2,1
"tree301.tre",0.743293164647184,"FP",2,1
"tree302.tre",-1.36346461169887,"FP",2,1
"tree303.tre",-0.588594968197867,"FP",2,1
"tree304.tre",-0.93205734831281,"FP",2,1
"tree305.tre",0.119219558197074,"FP",2,1
"tree306.tre",-0.00640128075610846,"FP",2,1
"tree307.tre",0.426228561205789,"FP",2,1
"tree308.tre",0.0854035667143762,"FP",2,1
"tree309.tre",-0.222946844645776,"FP",2,1
"tree310.tre",0.248221195302904,"FP",2,1
"tree311.tre",-0.324911269475706,"FP",2,1
"tree312.tre",-1.03053291712422,"FP",2,1
"tree313.tre",-0.254828335368074,"FP",2,1
"tree314.tre",-0.345522802439518,"FP",2,1
"tree315.tre",0.416475457837805,"FP",2,1
"tree316.tre",0.534971640678123,"FP",2,1
"tree317.tre",-0.839663418359123,"FP",2,1
"tree318.tre",0.140797964646481,"FP",2,1
"tree319.tre",-0.333044208004139,"FP",2,1
"tree320.tre",-0.386056655319408,"FP",2,1
"tree321.tre",0.777650621836074,"FP",2,1
"tree322.tre",-0.401282027945854,"FP",2,1
"tree323.tre",-0.00665080070029944,"FP",2,1
"tree324.tre",-0.494447396253236,"FP",2,1
"tree325.tre",-0.593462112359703,"FP",2,1
"tree326.tre",-0.370386046473868,"FP",2,1
"tree327.tre",0.618019146728329,"FP",2,1
"tree328.tre",-0.534015844808891,"FP",2,1
"tree329.tre",0.596775867976248,"FP",2,1
"tree330.tre",-0.714176540845074,"FP",2,1
"tree331.tre",-0.155824226443656,"FP",2,1
"tree332.tre",-0.337340183090419,"FP",2,1
"tree333.tre",0.777056019520387,"FP",2,1
"tree334.tre",0.0845823468407616,"FP",2,1
"tree335.tre",-1.07158933160827,"FP",2,1
"tree336.tre",-0.665231887018308,"FP",2,1
"tree337.tre",-0.635057272505946,"FP",2,1
"tree338.tre",-1.33938821242191,"FP",2,1
"tree339.tre",0.0406163688749075,"FP",2,1
