"treefilename","psi","bias","birth","death","ntaxa"
"tree278.tre",-1.2939720627619,"FP",3.38044168252964,1,111
"tree279.tre",0.955192084889859,"FP",3.66573339048773,1,176
"tree280.tre",0.0883781365118921,"FP",3.52669666258153,1,122
"tree281.tre",0.696633667917922,"FP",3.85339739031624,1,63
"tree282.tre",0.142197188921273,"FP",4.20658937168773,1,143
"tree283.tre",-0.269652531482279,"FP",2.12069733079989,1,85
"tree284.tre",-1.01713536633179,"FP",1.46184834381565,1,80
"tree285.tre",-1.33387909305748,"FP",1.16941054107156,1,89
"tree286.tre",-1.3193239356624,"FP",1.71280109935906,1,175
"tree287.tre",-1.2267140384065,"FP",3.65060329292901,1,126
"tree288.tre",-0.675051674246788,"FP",4.75943035571836,1,101
"tree289.tre",-0.397023616009392,"FP",4.90188427057583,1,55
"tree290.tre",-0.78860870830249,"FP",4.38426713254303,1,137
"tree291.tre",-1.31671918649226,"FP",4.87129930241499,1,117
"tree292.tre",0.345669271424413,"FP",2.59911162003409,1,155
"tree293.tre",0.613156391424127,"FP",3.22583366155159,1,186
"tree294.tre",0.132695080479607,"FP",1.24153204499744,1,160
"tree295.tre",-0.445452652988024,"FP",1.47054299374577,1,132
"tree296.tre",-1.24577763292473,"FP",2.35078675171826,1,141
"tree297.tre",-1.03956830955576,"FP",2.85449251651298,1,83
"tree298.tre",-0.706801041727886,"FP",4.71974397588056,1,169
"tree299.tre",0.0537310019135475,"FP",4.28011752052698,1,71
"tree300.tre",-1.31278962863144,"FP",2.23651475382503,1,92
"tree301.tre",0.0594336611684412,"FP",2.70399390642997,1,128
"tree302.tre",-1.48770748730749,"FP",1.84048628187738,1,111
"tree303.tre",-0.815696206176654,"FP",4.22994907128159,1,159
"tree304.tre",-0.416367993224412,"FP",4.24423716831952,1,67
"tree305.tre",-1.03865773102734,"FP",1.87635379985441,1,82
"tree306.tre",-0.187184716691263,"FP",2.18707670976873,1,149
"tree307.tre",-1.43822536547668,"FP",1.22292821414303,1,58
"tree308.tre",-0.912326899473555,"FP",3.638966165483,1,68
"tree309.tre",-0.710825060144998,"FP",2.73476589894854,1,190
"tree310.tre",-1.09723618521821,"FP",3.63384187696502,1,123
"tree311.tre",0.987763465614989,"FP",2.53548124260269,1,111
"tree312.tre",-0.817688255687244,"FP",2.98590036409441,1,163
"tree313.tre",-0.123501592664979,"FP",4.06503481185064,1,75
"tree314.tre",-0.492309888126329,"FP",2.49854321868625,1,90
"tree315.tre",-1.1556739002699,"FP",3.34824183147866,1,58
"tree316.tre",0.104419816867448,"FP",2.58992711366154,1,170
"tree317.tre",-0.315431424882263,"FP",2.13592538856901,1,189
"tree318.tre",0.304144309135154,"FP",1.12091749100946,1,150
"tree319.tre",-0.0919467988424003,"FP",4.2035734946141,1,74
"tree320.tre",-0.974629838950932,"FP",2.91009821917396,1,101
"tree321.tre",-1.27637131582014,"FP",3.74099842186552,1,89
"tree322.tre",-0.293824485037476,"FP",4.10773399595637,1,96
"tree323.tre",0.409089687978849,"FP",1.405046829395,1,120
"tree324.tre",0.585438436479308,"FP",2.70541441165842,1,70
"tree325.tre",-0.888142079696991,"FP",4.52301773992367,1,118
"tree326.tre",-0.597044931841083,"FP",2.53022115495987,1,147
"tree327.tre",-0.197460124385543,"FP",3.55689415847883,1,144
"tree328.tre",0.936018841690384,"FP",4.53972519291565,1,88
"tree329.tre",-1.24921021901537,"FP",2.68752839420922,1,123
"tree330.tre",-0.971969437436201,"FP",2.9811189994216,1,108
"tree331.tre",0.874474022071809,"FP",4.4183643121738,1,53
"tree332.tre",-1.14608381735161,"FP",3.56231745169498,1,63
"tree333.tre",-0.561387468245812,"FP",3.33522864370607,1,125
"tree334.tre",-0.393615766428411,"FP",4.48255783300847,1,93
"tree335.tre",-1.46160564769525,"FP",1.77546313710045,1,71
"tree336.tre",-0.612824859912507,"FP",2.29260464040563,1,124
"tree337.tre",-0.668259467114694,"FP",4.11243749170098,1,92
"tree338.tre",-1.44435121654533,"FP",3.08623815700412,1,181
"tree339.tre",0.639135239413008,"FP",1.58626835155301,1,146
"tree340.tre",-1.16749423998408,"FP",1.59228835112881,1,188
"tree341.tre",-0.876148630399257,"FP",1.25470621455461,1,175
"tree342.tre",-1.40081404917873,"FP",2.27295688646846,1,76
"tree343.tre",-0.893359631067142,"FP",1.1311272457242,1,179
"tree344.tre",0.144754481967539,"FP",1.16131668367889,1,141
"tree345.tre",-0.0491663025459275,"FP",2.32872556406073,1,58
"tree346.tre",0.075839263969101,"FP",3.24266418477055,1,167
"tree347.tre",-0.81962089962326,"FP",4.05261410351377,1,91
"tree348.tre",0.0855332039063796,"FP",3.08844808181748,1,94
"tree349.tre",-0.21107624436263,"FP",2.86034350905102,1,146
"tree350.tre",-0.66883397672791,"FP",4.39764092913829,1,113
"tree351.tre",-0.853764479164965,"FP",1.30988768569659,1,124
"tree352.tre",-0.138610679190606,"FP",4.89508546367288,1,98
"tree353.tre",-0.919433026923798,"FP",1.57788652759045,1,167
"tree354.tre",0.187705759541132,"FP",3.35041044412646,1,174
"tree355.tre",-0.243899950059131,"FP",1.80781074343249,1,63
"tree356.tre",0.979055962176062,"FP",2.7194451875519,1,116
"tree357.tre",0.932858610991389,"FP",1.37577402463648,1,116
"tree358.tre",0.863547088461928,"FP",4.60533729030285,1,95
"tree359.tre",-0.339863532339223,"FP",4.99568813715596,1,129
"tree360.tre",-0.449170462437905,"FP",3.69931964806747,1,181
"tree361.tre",0.525099062011577,"FP",2.62747139560524,1,151
"tree362.tre",-1.37038207822479,"FP",1.11267194743268,1,84
"tree363.tre",0.131555770291016,"FP",2.923036563606,1,156
"tree364.tre",-1.36873211571947,"FP",3.21456906276289,1,150
"tree365.tre",-1.10883191495668,"FP",2.91150537894573,1,195
